Vendor,Brand,Product_Name,Former_Price,Current_Price
FramesDirect,Ray-Ban,RB5154 Clubmaster,222.0,155.4
FramesDirect,Ray-Ban,RB5397 - Elliot Optics,210.0,147.0
FramesDirect,Oakley,Airdrop,227.0,158.9
FramesDirect,Ray-Ban,RB7047,176.0,123.2
FramesDirect,Oakley,Pitchman R,255.0,178.5
FramesDirect,Ray-Ban,RB3547V Oval,210.0,147.0
FramesDirect,Oakley,Socket 5.5,227.0,158.9
FramesDirect,Ray-Ban,RB7140,237.0,165.9
FramesDirect,Oakley,Holbrook RX,187.0,130.9
FramesDirect,Oakley,Centerboard,187.0,130.9
FramesDirect,Oakley,Volt Drop,227.0,158.9
FramesDirect,Ray-Ban,RB3925V,222.0,155.4
FramesDirect,Oakley,Liteboard,172.0,120.4
FramesDirect,Ray-Ban,RB6493,198.0,99.0
FramesDirect,Oakley,Metal Plate,346.0,242.2
FramesDirect,Versace,VE1274,316.0,221.2
FramesDirect,Gucci,GG0038ON,465.0,325.5
FramesDirect,Versace,VE3328,286.0,200.2
FramesDirect,Costa,Mariana Trench 510,197.0,137.9
FramesDirect,Dolce & Gabbana,DG3415,335.0,234.5
FramesDirect,FramesDirect Collection,V61031,,73.0
FramesDirect,Persol,PO3343V,363.0,254.1
FramesDirect,Versace,VE3369,406.0,203.0
FramesDirect,Polo,PH2117,,194.0
